point_id,set_number,serving_team,receiving_team,home_team,visiting_team,home_team_id,visiting_team_id,home_setter_position,visiting_setter_position,home_p1,home_p2,home_p3,home_p4,home_p5,home_p6,visiting_p1,visiting_p2,visiting_p3,visiting_p4,visiting_p5,visiting_p6,home_player_id1,home_player_id2,home_player_id3,home_player_id4,home_player_id5,home_player_id6,visiting_player_id1,visiting_player_id2,visiting_player_id3,visiting_player_id4,visiting_player_id5,visiting_player_id6,server_id,serve_eval_code,receiver_id,receive_eval_code,setter_id,set_code,set_type,attacker_id,attack_code,attack_eval_code,home_score_start_of_point,visiting_score_start_of_point,score_diff,is_ace,is_overpass,out_of_system,no_set,no_attack
0,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,4,3,4,9,17,6,11,5,14,7,22,10,42,4,-383204,-503355,-336122,-512356,-552110,-503356,-550142,-379095,-550141,-542277,-379096,-542354,-550142,-,-383204,#,-512356,KS,B,-336122,X6,#,1,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,3,3,9,17,6,11,5,4,14,7,22,10,42,4,-503355,-336122,-512356,-552110,-503356,-383204,-550142,-379095,-550141,-542277,-379096,-542354,-503355,-,-550142,+,-550141,KS,C,-379095,CF,#,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
2,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,3,2,9,17,6,11,5,4,7,22,10,42,4,14,-503355,-336122,-512356,-552110,-503356,-383204,-379095,-550141,-542277,-379096,-542354,-550142,-379095,-,-503355,+,-512356,KS,B,-336122,X6,#,2,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE
3,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,2,2,17,6,11,5,4,9,7,22,10,42,4,14,-336122,-512356,-552110,-503356,-383204,-503355,-379095,-550141,-542277,-379096,-542354,-550142,-336122,-,-542354,+,-550141,K2,F,-542277,X5,+,2,2,0,FALSE,FALSE,FALSE,FALSE,FALSE
4,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,2,1,17,6,11,5,4,9,22,10,42,18,14,7,-336122,-512356,-552110,-503356,-383204,-503355,-550141,-542277,-379096,-441102,-550142,-379095,-550141,+,-503354,-,NA,NA,NA,-512356,NA,-,3,2,-1,FALSE,FALSE,TRUE,TRUE,FALSE
5,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,1,1,6,11,5,15,9,17,22,10,42,18,14,7,-512356,-552110,-503356,-552112,-503355,-336122,-550141,-542277,-379096,-441102,-550142,-379095,-512356,+,-542277,-,-550141,NA,NA,-542277,V6,-,3,3,0,FALSE,FALSE,TRUE,FALSE,FALSE
6,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,1,6,22,11,5,15,9,17,55,42,18,17,7,22,-552120,-552110,-503356,-552112,-503355,-336122,-379097,-379096,-441102,-550140,-379095,-550141,-379097,+,-552110,-,-552120,NA,NA,-552110,V5,#,4,3,-1,FALSE,FALSE,TRUE,FALSE,FALSE
7,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,6,6,11,5,15,9,17,22,55,42,18,17,7,22,-552110,-503356,-552112,-503355,-336122,-552120,-379097,-379096,-441102,-550140,-379095,-550141,-552110,#,-379097,=,NA,NA,NA,NA,NA,NA,5,3,-2,TRUE,TRUE,FALSE,TRUE,TRUE
8,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,6,6,11,5,15,9,17,22,55,42,18,17,7,22,-552110,-503356,-552112,-503355,-336122,-552120,-379097,-379096,-441102,-550140,-379095,-550141,-552110,!,-434966,!,-550141,K7,B,-441102,X6,/,6,3,-3,FALSE,FALSE,TRUE,FALSE,FALSE
10,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,6,5,1,5,15,9,17,22,42,18,17,7,22,55,-429606,-503356,-552112,-503355,-336122,-552120,-379096,-441102,-550140,-379095,-550141,-379097,-434966,!,-429606,!,-552120,K1,B,-552112,X6,+,7,4,-3,FALSE,FALSE,TRUE,FALSE,FALSE
11,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,5,5,5,15,9,17,22,1,42,18,17,7,22,55,-503356,-552112,-503355,-336122,-552120,-429606,-379096,-441102,-550140,-379095,-550141,-379097,-503354,+,-550140,-,-379097,NA,NA,-550140,V5,=,8,4,-4,FALSE,FALSE,TRUE,FALSE,FALSE
13,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,5,5,5,15,9,17,22,1,42,18,17,7,22,55,-503356,-552112,-503355,-336122,-552120,-429606,-379096,-441102,-550140,-379095,-550141,-379097,-503354,+,-550140,-,-550141,NA,NA,-550140,X5,-,9,4,-5,FALSE,FALSE,TRUE,FALSE,FALSE
14,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,5,5,5,15,9,17,22,1,42,18,17,7,22,55,-503356,-552112,-503355,-336122,-552120,-429606,-379096,-441102,-550140,-379095,-550141,-379097,-503354,-,-550140,+,-550141,K1,C,-379095,X1,=,10,4,-6,FALSE,FALSE,FALSE,FALSE,FALSE
16,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,5,4,5,15,9,17,22,1,4,17,7,22,55,42,-503356,-552112,-503355,-336122,-552120,-429606,-542354,-550140,-379095,-550141,-379097,-379096,-542354,!,-503355,!,-552120,K7,B,-552112,X6,-,11,5,-6,FALSE,FALSE,TRUE,FALSE,FALSE
17,1,Duke University,"University of California, Berkeley",Duke University,"University of California, Berkeley",22,249,4,4,15,9,17,6,1,5,4,17,7,22,55,42,-552112,-503355,-336122,-512356,-429606,-503356,-542354,-550140,-379095,-550141,-379097,-379096,-552112,-,-379097,#,-550141,KS,F,-550140,X5,-,11,6,-5,FALSE,FALSE,FALSE,FALSE,FALSE
18,1,"University of California, Berkeley",Duke University,Duke University,"University of California, Berkeley",22,249,4,3,4,9,17,6,1,5,14,7,22,10,42,4,-383204,-503355,-336122,-512356,-429606,-503356,-550142,-379095,-550141,-542277,-379096,-542354,-550142,-,-383204,+,-512356,KB,F,-503355,X5,=,11,7,-4,FALSE,FALSE,FALSE,FALSE,FALSE
